,file_name,nodes_original_graph,edges_original_graph,nodes_preprocessed_graph,edges_preprocessed_graph
0,exact_024.gr,40,89,34,83
1,exact_052.gr,66,122,51,80
2,exact_054.gr,73,132,50,114
3,exact_056.gr,74,116,42,68
4,exact_062.gr,81,155,56,88
5,exact_066.gr,94,98,92,94
6,exact_068.gr,103,151,50,73
7,exact_098.gr,909,2782,836,2711
8,exact_100.gr,916,2994,854,2934
9,exact_102.gr,1010,3648,991,3634
10,exact_118.gr,1413,3955,1354,3787
11,exact_120.gr,1488,3777,1436,3639
12,exact_122.gr,1505,4700,1159,3318
13,exact_132.gr,1813,6367,1623,5525
14,exact_134.gr,1813,6384,1621,5529
15,exact_136.gr,1813,6384,1621,5529
16,exact_138.gr,1813,6384,1621,5529
17,exact_140.gr,1813,6384,1621,5529
18,exact_142.gr,1813,6384,1621,5529
19,exact_144.gr,1813,6384,1621,5529
20,exact_146.gr,1813,6384,1621,5529
21,exact_148.gr,1813,6384,1621,5529
22,exact_150.gr,1813,6384,1621,5529
23,exact_152.gr,1814,6387,1622,5532
24,exact_158.gr,2194,17836,2186,17828
25,exact_164.gr,2543,4244,2298,4121
26,exact_168.gr,2675,3185,2667,3165
27,exact_178.gr,3034,3297,3025,3279
28,exact_180.gr,3086,5764,3086,5764
29,exact_188.gr,3530,5473,2331,3537
30,exact_190.gr,3600,11500,3600,11500
31,exact_196.gr,7253,6711,1198,1303
32,exact_200.gr,20000,15000,0,0
