,instance_name,# nodes,# edges,tww,elimination_ordering,contraction_tree,duration
0,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny001.gr,10,9,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{1: 3, 2: 3, 3: 4, 4: 5, 5: 6, 6: 7, 7: 8, 8: 9, 9: 10}",1.3586311340332031
1,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny002.gr,10,10,2,"[4, 5, 1, 2, 7, 10, 3, 6, 8, 9]","{1: 2, 2: 3, 10: 9, 3: 6, 4: 5, 5: 6, 6: 9, 7: 8, 8: 9}",0.580894947052002
2,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny003.gr,0,0,0,[],{},0.34244608879089355
3,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny004.gr,0,0,0,[],{},0.27367281913757324
4,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny005.gr,25,40,3,"[1, 3, 4, 13, 2, 18, 16, 11, 6, 7, 8, 12, 5, 9, 21, 23, 22, 17, 10, 20, 14, 19, 15, 24, 25]","{1: 6, 2: 6, 6: 12, 3: 7, 7: 5, 11: 17, 8: 12, 12: 5, 16: 22, 13: 9, 17: 25, 21: 25, 18: 24, 22: 10, 23: 25, 4: 10, 9: 15, 14: 25, 19: 24, 24: 25, 5: 10, 10: 20, 15: 25, 20: 25}",13.734875202178955
5,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny006.gr,0,0,0,[],{},0.8015031814575195
6,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny007.gr,14,13,2,"[5, 8, 3, 9, 4, 1, 17, 2, 16, 7, 20, 11, 6, 24]","{1: 7, 2: 20, 3: 4, 4: 11, 5: 6, 6: 24, 7: 24, 8: 9, 9: 24, 11: 24, 16: 20, 17: 20, 20: 24}",1.2745749950408936
7,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny008.gr,10,15,4,"[6, 1, 5, 3, 7, 2, 4, 9, 8, 10]","{1: 3, 2: 4, 5: 3, 6: 4, 3: 8, 7: 10, 4: 9, 8: 10, 9: 10}",0.8088278770446777
8,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny009.gr,7,7,1,"[1, 5, 6, 2, 4, 3, 8]","{1: 2, 2: 8, 3: 8, 5: 8, 4: 8, 6: 8}",0.7880229949951172
9,/Users/shirazshay/School-projects/PACE-2023/tiny-set/tiny010.gr,20,55,2,"[5, 2, 16, 18, 6, 13, 3, 12, 9, 19, 8, 11, 1, 14, 4, 17, 10, 15, 7, 20]","{1: 4, 2: 8, 3: 7, 4: 10, 5: 6, 6: 7, 7: 20, 8: 10, 9: 10, 10: 20, 11: 14, 12: 15, 13: 17, 14: 20, 15: 20, 16: 17, 17: 20, 18: 19, 19: 20}",1.9012842178344727
